1716820882.435299, start program
1716820900.193543, load data
1716820900.304291, finish loading data
1716820900.696263, save model
1716820900.763463, done save model
1716820900.763569, start epoch 0
1716820900.763641, start phase train
1716820936.074860, start phase val
1716820938.207661, start epoch 1
1716820938.207812, start phase train
1716820973.118483, start phase val
1716820975.184271, start epoch 2
1716820975.184484, start phase train
1716821010.371664, start phase val
1716821012.443805, end
