1716820491.839809, start program
1716820510.953732, load data
1716820511.050417, finish loading data
1716820511.459479, save model
1716820511.526286, done save model
1716820511.526405, start epoch 0
1716820511.526497, start phase train
1716820547.010768, start phase val
1716820549.136619, start epoch 1
1716820549.136772, start phase train
1716820584.001894, start phase val
1716820585.996996, start epoch 2
1716820585.997166, start phase train
1716820621.195844, start phase val
1716820623.241438, end
